PostDate,TweetText
2019-01-01, Russian Hoax is a Hack Smear by Dems to stop a duly-elected @POTUS @realDonaldTrump @WhiteHouse !Patriot Americans are sick & tired of @HillaryClinton @ChuckSchumer @NancyPelosi @HouseDemocrats @SenateDems & @Comey made up lies of Russian Collusion Delusion. @Mr_Pinko Rocks!
2019-01-01, And tariffs are like a tax hike.  And rising interest rates are like a tax hike.  And a falling stock market is like a tax hike.  And eliminated regulations create health care costs and damage to the environment that are like a tax hike.  And...well you won't understand.
2019-01-01, Facebook literally just showed me prices at $1.84 that I took a picture of four years ago. I'm no mathematician but I don't think you were in office then.  tryagain TrumpResignNOW FakePOTUS
2019-01-01, Gas prices are down because crude oil prices are down because the market forsees a lack of demand during the recession that your economic policies are going to cause. It is luck just not the good kind.
2019-01-01, Border security is achievable via many methods. As a Democrat I absolutely support the need for strong borders. That said I do NOT support $$$ going to a wall or fence.TrumpResign
2019-01-01, Your ratings are low and expected to go down to 5 to life this year.
2019-01-01, I suppose you're going to try and use those savings to pay for the wall too!! LOL!!!
2019-01-01, Traders are selling off oil because the oversupply today will become a tsunami of oil supply when the expected recession starts.  If you think the US budget deficit is bad now........
2019-01-01, Is the falling stock market another tax cut too?
2019-01-01, Americans don't think you have anything to do with it.TrumpCrimeFamilyTrumpShutDownIndictTrump
2019-01-01, Dogs don't get fired...he called people names. And retired at full-rank because Obama intervened. Consider that people FIRED for being DISRESPECTFUL...should happen more often...
2019-01-01, No manners .. Treasonous...
2019-01-01, Energy independence would be good. Reliance on cheap oil from the Middle East is problematic!
2019-01-01, Home heating oil prices are up over last year. Food prices are up every week. Electricity costs are up. Health insurance premiums are ballooning. Over 40 prescription drugs are going up this month. Affordable housing is almost a myth. But heyyou magically lowered gas prices...
2019-01-01, It's like when my boss made a mistake on my paycheck and I told him about it and he said you've been making really good tips lately haven't you?  and I said yeah I have so can you get me the $22 you still owe me?  Two different things.
2019-01-01, Mr. Trump  as the gas prices fall so does our 401k
2019-01-01, Pres. Obama made 32 recess appointmentPres. Clinton made 139 recess appointmentsPres. George W. Bush made 171 recess appointments@realDonaldTrump has made ZERO recess appointments because OUR @GOP @senatemajldr refuses to adjourn the Senate.Remember that Brutus guy?I do.
2019-01-01, Brutus and CassiusThey too were honorable men.Don't trust suits.
2019-01-01, LIEawatha why aren't you donating your salary to your Native American  people @CeCeTop @seanhannity
2019-01-01, Wait do dogs normally get fired? I mean I get there are working dogs but is there some distinctive way of firing them that would make fired like a dog  a useful simile?
2019-01-01, USMCA is NAFTA! Not much changed in your deal except the acronym. So Mexico is NOT paying for the wall!
2019-01-01, It's because it's winter dip-shit. Gas prices are almost always lower in winter. https://eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPM0_PTE_NUS_DPG&f=M 
2019-01-01, Also when were gas prices even lower than now? When Obama was President in 2015 and 2016.
2019-01-01, Coach is getting heckled by Russian bots. He's made it big time.  Gonna be running Oklahoma drills in the parking lot of the Kremlin w Putin next week!
2019-01-01, Do you think it's just luck that the stock market lost value in 2018?Twitler
2019-01-01, Trump can't toke about the stock market or the economy anymore. That's why he is running on gas prices which are still higher than 2 years old!
2019-01-01, why do you make dogs sound bad?  My dog is awesome  he's laying on the floor right now looking at me with such love!
2019-01-01, Shush now he's been promised a real estate deal in N Korea!Great economic potential! There's money to be made for Trump  so he will praise them.
2019-01-01, Not true. It may slow inflation but businesses aren't going to slash prices.
