User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Determined Deplorable,@ImDeplorable16,2019-02-01T23:58:51.000Z,"@KathyKLTran
 #Sick #Evil #Infantcide 
@POTUS
 @realDonaldTrump
 Kathy Tran Presents Virginia Third Trimester Abortion Bill in Committee https://youtu.be/OMFzZ5I30dg via 
@YouTube",6,29,18
Lindsey Graham,@LindseyGrahamSC,2019-02-01T19:22:54.000Z,"House Democrats' border barrier/wall offer is PATHETIC.
 
I hoped that Democrats would make good faith effort to strike a deal on border barrier/wall, DACA, and TPS.
 
Unfortunately, it seems they hate 
@realDonaldTrump
 more than they want to solve problems.",4.2K,3K,6.8K
Edith Schy,@schy_edith,2019-02-01T23:57:58.000Z,"I'm almost to the point where I hate you more than 
@realDonaldTrump",15,7,108
Ryan Knight ò≠,@ProudSocialist,2019-02-01T23:53:01.000Z,"If the GOP wants to support racist politicians like 
@SteveKingIA
 and 
@realDonaldTrump
 then that is their prerogative. But that is not who we are or who the Democratic party is, which is why I am calling for 
@RalphNortham
 to resign and for 
@FairfaxJustin
 to take his place.",55,330,995
Ambrose Stolliker,@amstolliker,2019-02-01T23:54:51.000Z,"úThe party told you to reject the evidence of your eyes and ears. It was their final, most essential command.ù #1984 #Orwellian #MAGA #ResistúThe party told you to reject the evidence of your eyes and ears. It was their final, most essential command.ù #1984 #Orwellian #MAGA #Resist",2,9,52
jtherrschaft,@jtherrschaft,2019-02-01T23:53:18.000Z,"MAGA moron 
@realDonaldTrump
 and stupid GOP make world's worst deal in WI. #Foxconn laughs all the way to the bank. 
@realDonaldTrump
 is China's little dancing boy...sad! #ImpeachTrump #TraitorTrumpQuote Tweet
jtherrschaft
@jtherrschaft
 ∑ Feb 1, 2019
https://washingtonpost.com/amphtml/business/foxconn-says-it-shifts-wisconsin-plan-after-trump-intervenes/2019/02/01/55a5eee4-264d-11e9-b5b4-1d18dfb7b084_story.html¶

WI con job by #TraitorTrump #ImpeachTrump #satantrump",,2,2
Adam Best,@adamcbest,2019-02-01T20:11:58.000Z,You have attacked the black community nonstop. You called black NFL players standing up for themselves úsons of bitches.ù You routinely attack the intelligence of highly successful black people. These words couldn't ring more hollow.You have attacked the black community nonstop. You called black NFL players standing up for themselves úsons of bitches.ù You routinely attack the intelligence of highly successful black people. These words couldn't ring more hollow.,554,739,7.5K
SVikes√•,@SVikesa,2019-02-01T23:55:41.000Z,I keep missing the racism partGIF,1,,1
Dan,@GreenlakeRun,2019-01-31T22:08:23.000Z,"@realDonaldTrump
 @PressSec
 @seanhannity
 Stop #IllegalImmigration, require all #employers to use E-verify! #Jobs #IllegalAlienInvasion #Caravan 
@HorseShort
 @cactusflower81
 @CoyHamp
 @jackassdad2
 @PushBackNow
 @papacass84
 @Julie34479
 @pjpaton
 @ObozoLies
 @couch_maria 
@Jahbalon@realDonaldTrump
 @PressSec
 @seanhannity
 Stop #IllegalImmigration, require all #employers to use E-verify! #Jobs #IllegalAlienInvasion #Caravan 
@HorseShort
 @cactusflower81
 @CoyHamp
 @jackassdad2
 @PushBackNow
 @papacass84
 @Julie34479
 @pjpaton
 @ObozoLies
 @couch_maria 
@Jahbalon",2,3,2
Cat,@missyou_jack,2019-02-01T23:55:04.000Z,"#BeBestRacist  #OrangeLiesMatter

""October 1973: Donald Trump and his father, Fred Trump, are accused by the Department of Justice of refusing to rent apartments to African Americans. The case was settled two years later. The Trumps did not admit guilt...""
https://indyweek.com/news/history-donald-trump-s-racism-abridged/¶#BeBestRacist  #OrangeLiesMatter

""October 1973: Donald Trump and his father, Fred Trump, are accused by the Department of Justice of refusing to rent apartments to African Americans. The case was settled two years later. The Trumps did not admit guilt...""
https://indyweek.com/news/history-donald-trump-s-racism-abridged/¶",,,1
