User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Ahmed Hussen,@HonAhmedHussen,2019-02-01T20:13:21.000Z,"Today is the start of #BlackHistoryMonth
!

Let's take this month to celebrate our diversity & the many contributions of Black Canadians, especially Black 
 youth.

We must take this opportunity to learn from our history to inform our future so we can strive for equality for all.",204,355,1.1K
#GameOver,@Wazee013,2019-02-01T20:21:12.000Z,Why not celebrate Canadians as a whole?  Why are you encouraging segregation with your celebration?,9,1,37
Wade Hildebrand,@LifeChanger76,2019-02-01T20:55:24.000Z,A little history lesson for you. Black people fled TO Canada to flee slavery. They have had the best history in Canada compared to any other country in the world. Google the Underground Railroad. Or didn't they teach Canadian history in Somalia?A little history lesson for you. Black people fled TO Canada to flee slavery. They have had the best history in Canada compared to any other country in the world. Google the Underground Railroad. Or didn't they teach Canadian history in Somalia?,1,3,19
That guy in Ontario,@DeonRDoiron1,2019-02-01T20:23:55.000Z,"When is white history month? Oh sorry, is that racist?? When is white history month? Oh sorry, is that racist?? ",2,,11
Globalnews.ca,@globalnews,2019-02-01T16:46:17.000Z,"BREAKING: Toronto man pleads guilty to trying to join ISIS.Toronto man pleads guilty to trying to join ISIS
A Toronto man admitted Friday he traveled to Turkey in 2014 to join the so-called Islamic State. At a court appearance in Toronto, Pamir Hakimzadah pleaded guilty to leaving Canada to participate in...
globalnews.ca",82,124,76
CJTO,@CJ_Toronto,2019-02-01T21:47:34.000Z,"I admire 
@JustinTrudeau
's desire to take the high road when dealing with Andrew Scheer, I'm not convinced that you can fight the kind of lies, half-truths, vitriol, & hatred that is currently spewing out of 
@CPC_HQ
 without calling them out by name & making them own it. #cdnpoli",1,,4
kat,@kathylandb2,2019-02-01T18:15:08.000Z,"I ask this question sincerely, why?I ask this question sincerely, why?",1,,4
JR,@arjendre,2019-02-01T20:22:51.000Z,"Celebrate one race but no other races? Sorry, no. If ""diversity is our strength"" - why do we need to focus on one race but no others? Identity politics for no one or everyone if any all - not just blacks.Celebrate one race but no other races? Sorry, no. If ""diversity is our strength"" - why do we need to focus on one race but no others? Identity politics for no one or everyone if any all - not just blacks.",1,4,41
feriÅ¶,@feri84050387,2019-02-01T21:02:38.000Z,"life of #IranianRefugeesInTurkey means identity crisis
 & endless waiting .Do not have #Human_Rights ?
Solving our problem does not cause a global disaster.
#Resettlement4Iranian
@POTUS
 @FLOTUS
@RefugeesChief
 @JustinTrudeau
 @Lora_Realtor 
@AmnestyNow
 @amnestyusa
 @AmnestyEU
 @UN",,70,34
Clay Thompson,@harryt59_harry,2019-02-01T18:09:21.000Z,At least this prime minister is willing to talk and listen to Canadians. Unlike all the other leaders.  Trudeau is doing a better job than Harpers 10 years if doom and gloomAt least this prime minister is willing to talk and listen to Canadians. Unlike all the other leaders.  Trudeau is doing a better job than Harpers 10 years if doom and gloom,28,2,43
scarlogo,@scarlogo,2019-02-01T20:42:24.000Z,What about Asian history month? Or Italian or Arabic history month...sometimes being inclusive' results in being exclusive. Everyone had a hand at making Canada the amazing country that it is...time to realize it.What about Asian history month? Or Italian or Arabic history month...sometimes being inclusive' results in being exclusive. Everyone had a hand at making Canada the amazing country that it is...time to realize it.,1,,6
Sheikh Ahmed Munieb,@Ahmed04832131,2019-02-01T20:24:58.000Z,Pls do work on spousal visas fast processing. 12 month is much time. Atleast short it to 8 monthsPls do work on spousal visas fast processing. 12 month is much time. Atleast short it to 8 months,6,,
Lord Canuckington III,@CanuckGrifter,2019-02-01T20:29:58.000Z,Go home Ahmed,,,2
Nestor,@canadianharley,2019-02-01T18:10:12.000Z,Does answering a question by avoiding the question and rambling on about nonsense count as answering a question?Does answering a question by avoiding the question and rambling on about nonsense count as answering a question?,2,5,15
Voice of Europe,@V_of_Europe,2019-02-01T14:00:32.000Z,Britain: Free Speech is Dying in Its Birthplace - Voice of Europe https://voiceofeurope.com/2019/02/britain-free-speech-is-dying-in-its-birthplace/#.XFRQ_ZwhvoQ.twitter¶,26,403,528
Monica Fibonacci,@MonicaFibonacci,2019-02-01T14:19:59.000Z,"#FreeSpeech is dying in #NorthAmerica, too, being killed by #NeoLiberalism - #Globalism! 
@justintrudeau",,,5
