User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
KansasgirlinCa,@Kansasgirlinca,2020-01-01T23:58:10.000Z,"I'm exhausted!

I posted about Trump golfing and saving lives unlike Obama and Hillary who got 4 men killed.

It's like they want Americans to die just so 
@realDonaldTrump
 looks bad.",15,26,66
John Basham,@JohnBasham,2020-01-01T23:58:13.000Z,"Attention 
@khamenei_ir
, We have 
@POTUS
 @realDonaldTrump
.
He is NOT LIKE previous Presidents! If he takes the United States to war, he plans on WINNING!
BACK DOWN!
We have 1,365 Strategically deployed Nuclear Missiles, some nearby!
Do so BEFORE you see what a ""Dial a Yield"" is!Donald Trump Jr. and 7 others",1,3,7
Deplorable Debbie,@deb61Patriots,2020-01-01T23:51:25.000Z,"Just clarifying a fact ! 
@realDonaldTrump
 he's the man !",1,6,8
Helpmesharpieyouremyonlyhope,@Keanin15,2020-01-01T23:48:26.000Z,SoonSoon,,3,27
bob hunter,@bohunte79014502,2020-01-01T23:58:16.000Z,"thanks for the hardwork 
@Dawnnewyorker
.  I just donated.  if #s386 pass, many middle class american like me will lose job to indian outsoucing, unlimited EAD.  we cannot donate without a job.  this is our fight for surviving.
@realDonaldTrump
 @4US_Workers
 @senatemajldr 
@LouDobbsQuote Tweet
President-Elect Dawn Collins
@Dawnnewyorker
 ¬∑ Jan 1, 2020
President Trump is getting in on the Act ... We will have Billboard Trucks driving from NY to DC next week ..  
LETS GO!!!!! 
https://gofundme.com/mvc.php?route=homepage_norma/search&term=Pusw-national-billboard-campaign¶",,14,20
IDAHO CLIMATE VOTER IS FULLY VACCINATED!,@OneFatCatsMom,2020-01-01T23:53:48.000Z,"I will enjoy it one blue wave at a time!

Also: GFY!I will enjoy it one blue wave at a time!

Also: GFY!",1,1,7
Nicole,@Nicblowingsteam,2020-01-01T23:59:04.000Z,"If 
@FLOTUS
 wants peace for the world, tell 
@realDonaldTrump
 to resign.
I guarantee we will be more peaceful.Quote Tweet
The Hill
@thehill
 ¬∑ Jan 1, 2020
Question: What's your New Year's Resolution?

First Lady Melania Trump: ""Peace on the world.""

President Trump: ""Peace is right but I'm not sure you're supposed to say a resolution out loud."" #2020NewYear #NewYearsEve2020",,3,3
"Joan Wilson
. Is nasty, and luvin it!",@joanwilsonorg,2020-01-01T21:09:41.000Z,"Mutherfuquer!
I suspect they all knew this wud happen to them and they spoke truth to power anyway. Trump just can't be vindictive enough. Hateful little man! 
‚Å¶
@realDonaldTrump
‚Å©  

Lt. Col. Alexander Vindman to be removed from Nat Security CouncilLt. Col. Alexander Vindman to be removed from National Security Council
Lt. Col. Alexander Vindman, who testified on October 29 concerning his reaction to Donald Trump's phone call to Ukrainian President Zelensky, was removed from the National Security Council on Sunda...
dailykos.com",359,1.7K,2.7K
ANGRYWHITEWOMANWithoutMalice,@WithForethought,2020-01-01T23:59:00.000Z,They were probably making his life miserable anyway. I just hope he stays safe.  How sad that we have to worry about so many peoples' safety now.,,1,5
Cait Featherstone,@cvfeatherstone,2020-01-01T23:51:51.000Z,"Happy New Year, President Asterisk.Happy New Year, President Asterisk.",,,6
Cathe Gordon,@twitcathe,2020-01-01T19:31:07.000Z,"We had more 
@realDonaldTrump
 2016 voters in California than the entire population of 30 states! Our five million+ total exceeds the bottom six state populations combined.

I know not one person here who is LESS inclined to vote for him in 2020.",2,5,16
R obert Jonas,@rjonas979,2020-01-01T23:51:33.000Z,Ballot harvesting and voter rolls.I am aware there are enormous amount of Great citizens in California. Talking about the voting laws.I have enjoyed visiting.Alot of people disagree with.sanctuary laws.Dont take it http://personal.No state is perfect.,,,3
DebbieBonespurs‚ô°TXDem,@LivinNTrumpHell,2020-01-01T23:45:03.000Z,"Dems losing ""some"" power??

GOP had prez, senate, house for yrs.
When Obama was president, McConnell refused to allow his S.C. pick to be interviewed by GOP for a yr, & has now packed courts w/ right-wing, ultra-conservative, unqualified, bigoted judges.Dems losing ""some"" power??

GOP had prez, senate, house for yrs.
When Obama was president, McConnell refused to allow his S.C. pick to be interviewed by GOP for a yr, & has now packed courts w/ right-wing, ultra-conservative, unqualified, bigoted judges.",1,,4
DebbieBonespurs‚ô°TXDem,@LivinNTrumpHell,2020-01-01T23:53:02.000Z,"Also, McConnell refused signing onto a bipartisan statement announcing & condemning Russia's involvement in our 2016 election... BEFORE the election. 

GOP, or McConnell at least, KNEW Russians were trying to affect the outcome of our election, but REJECTED telling Americans.",1,1,6
Lucas House,@LucasHouse7,2020-01-01T23:52:52.000Z,Considering Republicans stole a supreme court seat what makes you think we trust them now?Considering Republicans stole a supreme court seat what makes you think we trust them now?,1,3,6
April Eaton,@apryle29,2020-01-01T23:52:28.000Z,I hope he forgot he's president & wandered off.I hope he forgot he's president & wandered off.,,1,6
Princess,@jfowler0615,2020-01-01T23:33:46.000Z,"Is there anyone that thinks that any future generations will one day learn the truth about 
@realDonaldTrump
 accomplishments in school?I know not in my lifetime,I'm 53 but maybe someday?He will be in the history books,but will the truth be told?Or will the corrupt truth be told",31,25,66
WonderWoman,@anaisa179,2020-01-01T23:54:24.000Z,This is Changing History as we know it.  History used to depend on who wrote the book. But with the internet now. History writing will never be the same.  Thank God.  People can research on their own.  Watch videos of the people and listen to their words come out directly.GIF,1,1,3
Just Kyle,@_just_kyle,2020-01-01T01:18:37.000Z,The CHOICE act was co-sponsored by McCain and Sanders and signed by Obama in 2014... Reality matters.The CHOICE act was co-sponsored by McCain and Sanders and signed by Obama in 2014... Reality matters.,8,23,365
Lysol Cocktail,@Cleargummybear2,2020-01-01T23:49:38.000Z,Not to them,2,,13
AnnaLovesTrump,@AnnaApp91838450,2020-01-01T23:57:23.000Z,"Hugs Love You
GodBlessAmerica
JUSTICENOW
AnnaLovesTrump
KAG2020
RUNAWAY2O20Hugs Love You
GodBlessAmerica
JUSTICENOW
AnnaLovesTrump
KAG2020
RUNAWAY2O20",,,
Fran Peters,@fjbagel48,2020-01-01T22:46:46.000Z,What is she fantastic at?,1,1,2
The Invisible Man,@dumptruck9999,2020-01-01T23:54:19.000Z,gold digging ?,,1,3
Stephanie,@snmm79,2020-01-01T23:58:15.000Z,And you know this because? You spend just as much time on the same Tweets? Only way you could possibly make a statement like that. So I guess that you're completely pathetic yourself.,1,,3
"TRUMP THE, AMERICANù",@Apipwhisperer,2020-01-01T23:48:09.000Z,"This Pope is a monster! He's the puppet of the leftwing , who under the cover of peaceù , are socialists, here to enslave people! 
@realDonaldTrumpThis Pope is a monster! He's the puppet of the leftwing , who under the cover of peaceù , are socialists, here to enslave people! 
@realDonaldTrump",,,1
Eileen Lindburg at,@elindburg,2020-01-01T21:51:09.000Z,I don't answer if not in my contacts. Mostly getting texts.I don't answer if not in my contacts. Mostly getting texts.,1,,1
Auntie Beans,@auntie_beans,2020-01-01T23:55:17.000Z,"Alas, we don't have caller ID on the house phones and my office phone doesn't either. I suppose I should get it....but that would mean three gadgets around the house for all the landline sets. Feh. And besides, the spoofers are starting to use local area codes so they look local.",1,,2
Conservative Kim,@KimBeck67240638,2020-01-01T23:54:17.000Z,"If THIS is how 
@realDonaldTrump
 is ruining our country, I hope he keeps it up!!!

7 million+ jobs created, 600,000 manufacturing jobs
7 million off food stamps
Lowest unemployment for every minority in US history
Multiple Stock Market all-time record highs
Lower taxes 

#MAGAQuote Tweet
PP Head
@realDonaldPP
 ¬∑ Jan 1, 2020
Replying to @KimBeck67240638
#MAGA? #DonaldTrumpIsRuiningOurCountry!",,,1
sander verboog,@SanderVerboog,2020-01-01T23:51:50.000Z,"It doesn't matter Juan. The Dems are not important. trump has been impeached in a democratic process. Remember that the US have a very strong democracy, one of the strongest in the world. trump did not follow the rules and he has been impeached, that's it.It doesn't matter Juan. The Dems are not important. trump has been impeached in a democratic process. Remember that the US have a very strong democracy, one of the strongest in the world. trump did not follow the rules and he has been impeached, that's it.",1,,3
Scarlett,@SpiggyMoon,2020-01-01T01:37:44.000Z,Happy New Year! Love from Canada- please please heeeeellllp us!Happy New Year! Love from Canada- please please heeeeellllp us!,7,6,40
Jamie Ott Blom,@jamie_blom,2020-01-01T23:52:09.000Z,I shared and asked him too.  I will support this great idea.  Thank you for asking and trying.,,,1
Sal Caiozzo,@salforcongress,2020-01-01T23:52:48.000Z,All I need to do is see baby blue helmets AND ITS ONAll I need to do is see baby blue helmets AND ITS ON,,,1
Mani Isna La #NativeLivesMatter,@mikecoulson48,2020-01-01T23:58:20.000Z,Exactly! You have studied this concept in greater depth than I have but we appear to have reached the same conclusion even if we got there from different directions Exactly! You have studied this concept in greater depth than I have but we appear to have reached the same conclusion even if we got there from different directions ,2,3,3
"Victoria Taft ì Parler, Minds, Facebook, 5VTShow",@VictoriaTaft,2020-01-01T23:49:53.000Z,Sure are a lot of dumb attorneys out there.Sure are a lot of dumb attorneys out there.,,3,4
Surplus Value Bounty Hunter,@value_bounty,2020-01-01T21:03:10.000Z,Whats wrong with the people owning the means of production hardly radicalWhats wrong with the people owning the means of production hardly radical,3,1,2
Adam FREEDOM! Kokesh,@adamkokesh,2020-01-01T23:54:29.000Z,The people. Not the government. That's why communism is unethical,2,1,1
Scott Stephens,@scootdogster,2020-01-01T23:53:09.000Z,"At least two more rounds of two #ArticlesOfImpeachment votes by the full house. 
@SenateGOP
 are forced to campaign through it all. #Voters will not, and should not, be denied the satisfaction of a ballot-box beat down of the #ComplicitRepublicans ! 
@realDonaldTrump
 @senatemajldrAt least two more rounds of two #ArticlesOfImpeachment votes by the full house. 
@SenateGOP
 are forced to campaign through it all. #Voters will not, and should not, be denied the satisfaction of a ballot-box beat down of the #ComplicitRepublicans ! 
@realDonaldTrump
 @senatemajldr",,1,4
Alexander Ph Vollmer,@laemmerbiss,2020-01-01T23:43:22.000Z,You have to wipe a lot of minds because many people started to believe that the new usual is the new normal and adjusted to it. You have to reverse the normative power of the loudest lie.You have to wipe a lot of minds because many people started to believe that the new usual is the new normal and adjusted to it. You have to reverse the normative power of the loudest lie.,1,,1
Lauren Weinstein,@laurenweinstein,2020-01-01T23:49:35.000Z,"This isn't ""Men in Black."" The service doesn't ""wipe minds"", it just makes Minimum Necessary Changes to the timeline. Don't worry about it. This is all handled by skilled professionals. These tweets won't even exist afterwards.",,,2
TT,@Tommy_T187,2020-01-01T23:50:43.000Z,"Me too, Doc!Me too, Doc!",,,
