@relation complete

@attribute Justin numeric
@attribute Trump numeric
@attribute 'Moving Average' numeric
@attribute class {DOWN,UP}

@data
0.064006,-0.043493,-0.000003,DOWN
0.038816,0.116191,-0.000001,UP
0.020748,0.033346,-0.00005,DOWN
0.007249,0.068805,-0.000083,DOWN
0.090112,-0.1292,-0.000084,DOWN
0.029844,-0.186969,-0.000107,DOWN
0.014313,-0.166089,-0.000123,DOWN
-0.059484,0.166595,-0.000133,DOWN
0.057061,-0.019006,-0.000124,UP
0.079724,0.00458,-0.000116,UP
0.054611,-0.093926,-0.000114,UP
-0.064504,-0.119951,-0.000111,UP
0.067257,0.003714,-0.000116,DOWN
-0.002271,-0.091284,-0.000116,DOWN
0.007122,0.009894,-0.000109,UP
0.073996,-0.092557,-0.000114,DOWN
0.036331,0.074212,-0.000109,UP
0.063552,-0.043626,-0.000102,UP
0.058856,-0.061879,-0.000083,UP
0.086771,-0.048957,-0.000088,DOWN
0.055659,-0.033536,-0.000085,UP
-0.030066,0.13045,-0.000127,DOWN
-0.017358,-0.121456,-0.000125,UP
-0.039902,0.086912,-0.000112,UP
0.012737,0.143749,-0.000108,UP
0.024284,0.056505,-0.000149,DOWN
0.107299,-0.116985,-0.000154,DOWN
-0.084605,-0.070914,-0.000162,DOWN
0.133552,-0.068298,-0.000161,UP
0.064423,0.076468,-0.000155,UP
0.037674,-0.13057,-0.000152,UP
-0.004124,0.177463,-0.000123,UP
0.006292,0.026813,-0.000092,UP
0.026882,0.034817,-0.000103,DOWN
0.026209,-0.071127,-0.000103,DOWN
0.058925,0.140802,-0.000094,UP
-0.047366,0.051873,-0.000117,DOWN
-0.017461,-0.013449,-0.000107,UP
0.057462,-0.060065,-0.000094,UP
0.046116,-0.102623,-0.000111,DOWN
0.089644,-0.038172,-0.000112,DOWN
0.031501,-0.054949,-0.000113,DOWN
-0.016868,0.103816,-0.000121,DOWN
-0.022859,-0.236074,-0.000133,DOWN
0.021003,-0.152444,-0.000115,UP
-0.068924,0.175345,-0.000144,DOWN
0.020848,0.036553,-0.000144,DOWN
0.020128,0.034362,-0.000127,UP
0.05787,-0.205456,-0.000133,DOWN
0.00965,-0.218598,-0.000138,DOWN
0.045155,0.005243,-0.000132,UP
0.109995,-0.154529,-0.000089,UP
0.032834,-0.144307,-0.000093,DOWN
0.05438,0.03755,-0.000084,UP
0.0696,-0.006079,-0.00007,UP
-0.010925,0.096497,-0.000042,UP
0.071833,-0.113568,-0.000041,UP
0.023394,-0.089538,-0.000049,DOWN
-0.040173,-0.042667,-0.000048,UP
0.076517,0.089032,-0.000056,DOWN
-0.037714,-0.093298,-0.000068,DOWN
0.044326,-0.170164,-0.000086,DOWN
0.007673,-0.003577,-0.000078,UP
0.001662,0.046549,-0.000075,UP
0.05699,-0.135189,-0.000072,UP
-0.006131,0.211186,-0.000073,DOWN
-0.006352,-0.048976,-0.000077,DOWN
0.029713,-0.145775,-0.000088,DOWN
0.061588,0.133877,-0.000062,UP
0.066307,0.11743,-0.000044,UP
0.014751,0.065939,-0.000044,DOWN
0.039956,-0.121686,-0.000054,DOWN
-0.060316,-0.040197,-0.000058,DOWN
0.000617,0.058338,-0.000048,UP
0.02369,-0.050444,-0.000042,UP
-0.086865,0.153327,-0.000068,DOWN
0.069256,0.042724,-0.000068,DOWN
0.012877,0.068444,-0.000079,DOWN
0.039255,0.100088,-0.000069,UP
0.024673,0.032142,-0.000068,UP
0.025444,-0.095368,-0.000062,UP
0.088683,-0.03925,-0.000057,UP
-0.01844,-0.077178,-0.000059,DOWN
0.008467,0.152217,-0.000077,DOWN
-0.078615,0.080229,-0.000072,UP
-0.031735,0.022461,-0.000075,DOWN
0.040412,0.096457,-0.000056,UP
-0.023249,-0.049498,-0.000075,DOWN
0.023072,-0.128302,-0.00007,UP
-0.101882,0.140241,-0.000058,UP
0.045072,-0.077364,-0.000062,DOWN
-0.030758,0.035076,-0.000064,DOWN
-0.087736,-0.155824,-0.000056,UP
0.104677,0.00296,-0.000052,UP
0.007255,0.129185,-0.000054,DOWN
0.016976,-0.0772,-0.000065,DOWN
-0.08074,-0.186736,-0.000038,UP
-0.022212,-0.086988,-0.000018,UP
0.00678,-0.096643,-0.000022,DOWN
-0.003912,-0.005136,-0.00003,DOWN
-0.041248,-0.014816,-0.000027,UP
0.030857,0.026526,-0.000029,DOWN
-0.037153,-0.019654,-0.00005,DOWN
0.072013,0.051805,-0.000034,UP
0.052002,-0.050078,-0.000024,UP
0.033532,0.068595,-0.000041,DOWN
0.142801,0.049105,-0.000024,UP
0.028297,0.054814,-0.000031,DOWN
-0.021313,-0.091317,-0.000023,UP
0.013129,-0.077314,-0.000023,UP
0.013313,-0.058292,-0.000025,DOWN
0.077727,-0.032785,-0.000042,DOWN
-0.041462,-0.025785,-0.000033,UP
-0.081453,0.012257,-0.000021,UP
0.011953,-0.028486,-0.000026,DOWN
0.022344,0.039074,-0.000032,DOWN
0.002173,0.026764,-0.000025,UP
0.051098,-0.007563,-0.000025,UP
-0.038416,0.028204,-0.00003,DOWN
0.084111,0.068667,-0.000037,DOWN
-0.034862,-0.07026,-0.000044,DOWN
-0.069736,0.143334,-0.000033,UP
0.056831,-0.037598,-0.000021,UP
0.043228,-0.107616,-0.000032,DOWN
0.069025,0.158495,-0.000032,UP
0.069642,-0.197149,-0.000033,DOWN
-0.023284,0.043778,-0.000016,UP
0.010087,-0.068245,-0.000008,UP
0.14702,-0.057363,-0.000002,UP
0.029439,0.064589,-0.000008,DOWN
0.074536,0.045463,-0.000006,UP
0.162081,-0.014749,-0.000031,DOWN
0.067324,0.019591,-0.000047,DOWN
0.022534,-0.050088,-0.000037,UP
0.033348,0.081895,-0.000058,DOWN
-0.020132,-0.075852,-0.000088,DOWN
0.034712,0.106154,-0.000085,UP
-0.046175,0.045447,-0.000086,DOWN
-0.00313,0.056297,-0.000081,UP
0.031428,-0.157675,-0.000064,UP
0.018033,0.071751,-0.000066,DOWN
0.140726,0.075541,-0.00004,UP
0.062492,-0.011318,-0.000039,UP
0.148442,-0.066497,-0.000039,UP
0.020136,0.051003,-0.000051,DOWN
0.119112,0.059195,-0.000083,DOWN
0.203666,-0.049443,-0.00011,DOWN
0.026782,-0.04367,-0.000099,UP
0.1679,-0.100793,-0.000105,DOWN
0.053277,0.039682,-0.000109,DOWN
-0.00298,-0.061722,-0.000111,DOWN
0.028973,0.004248,-0.000128,DOWN
0.024478,-0.029961,-0.000137,DOWN
0.013043,0.113841,-0.000139,DOWN
0.029557,0.162629,-0.000137,UP
0.281009,0.064256,-0.000123,UP
0.022289,0.017058,-0.000133,DOWN
0.058738,0.111288,-0.000146,DOWN
0.151015,0.225545,-0.000149,DOWN
0.007571,-0.08908,-0.000139,UP
0.041036,-0.115398,-0.000138,UP
0.077903,0.071105,-0.00013,UP
0.044924,-0.092614,-0.000122,UP
0.052634,0.06019,-0.000139,DOWN
0.071665,0.181241,-0.00014,DOWN
0.007214,0.070613,-0.000153,DOWN
0.043519,-0.187157,-0.00015,UP
-0.000667,-0.021405,-0.000145,UP
0.041797,-0.10039,-0.000132,UP
0.033261,0.014376,-0.000142,DOWN
0.021129,-0.173305,-0.000148,DOWN
-0.00573,0.07979,-0.00014,UP
-0.041027,0.133435,-0.000141,DOWN
-0.006343,-0.173615,-0.000116,UP
0.047994,0.061545,-0.000112,UP
0.03159,0.073869,-0.000111,UP
0.104428,0.160942,-0.000105,UP
0.005832,0.182854,-0.000103,UP
0.050364,-0.036808,-0.000102,UP
0.024505,-0.085733,-0.000103,DOWN
0.14573,0.075619,-0.000108,DOWN
0.072383,-0.010463,-0.000092,UP
0.129386,0.094968,-0.000087,UP
0.1201,-0.03315,-0.00009,DOWN
0.079131,-0.1435,-0.000089,UP
0.04773,-0.126306,-0.000085,UP
0.085397,-0.189993,-0.000064,UP
0.063398,-0.027766,-0.000053,UP
0.098571,-0.023933,-0.00008,DOWN
0.018735,0.041277,-0.000082,DOWN
0.058676,-0.073772,-0.000083,DOWN
0.026039,0.059708,-0.000077,UP
0.025031,-0.0005,-0.000084,DOWN
-0.0289,-0.065008,-0.000053,UP
0.024558,-0.052717,-0.000051,UP
0.019646,0.011012,-0.000067,DOWN
-0.060408,-0.016308,-0.000066,UP
0.05615,0.070795,-0.000046,UP
0.025952,-0.11995,-0.00005,DOWN
0.012506,0.066695,-0.000059,DOWN
0.028254,-0.002418,-0.000056,UP
0.068411,-0.018046,-0.000061,DOWN
0.09525,-0.039017,-0.00005,UP
0.004096,0.078205,-0.00007,DOWN
0.060956,-0.098649,-0.000059,UP
0.046483,0.104823,-0.000052,UP
0.03805,-0.14462,-0.000059,DOWN
-0.057623,0.0258,-0.000051,UP
0.094738,0.027772,-0.000048,UP
0.081547,-0.025743,-0.000042,UP
0.062348,-0.049166,-0.000041,UP
0.059878,-0.106183,-0.000077,DOWN
0.059911,0.050183,-0.000075,UP
0.048729,0.126221,-0.000095,DOWN
0.0698,-0.001006,-0.000094,UP
0.08784,0.179233,-0.000094,UP
-0.028291,-0.195764,-0.000101,DOWN
-0.0106,-0.06894,-0.000088,UP
0.042944,-0.115721,-0.000079,UP
-0.026442,0.12392,-0.000055,UP
-0.003897,-0.203805,-0.000078,DOWN
0.046081,-0.099886,-0.000069,UP
0.038287,-0.081616,-0.000069,UP
0.050807,0.09473,-0.00005,UP
-0.049323,0.095598,-0.000063,DOWN
-0.096821,-0.085485,-0.000062,UP
-0.000566,0.086533,-0.000059,UP
0.034749,0.051863,-0.000062,DOWN
0.002362,-0.048843,-0.000068,DOWN
0.001303,0.109086,-0.000062,UP
-0.004086,0.079817,-0.000058,UP
0.03952,-0.021439,-0.000065,DOWN
0.027851,0.03851,-0.000068,DOWN
-0.122753,-0.008936,-0.000066,UP
-0.143434,-0.08723,-0.000074,DOWN
-0.020053,0.079661,-0.000038,UP
-0.051705,0.110226,-0.000036,UP
-0.000506,-0.045953,-0.000046,DOWN
0.001325,0.020771,-0.000045,UP
0.024819,-0.021924,-0.000046,DOWN
-0.007806,-0.277205,-0.00004,UP
0.011665,-0.26141,-0.000035,UP
0.038694,-0.0432,-0.000051,DOWN
-0.034258,0.178656,-0.000078,DOWN
0.032066,-0.25239,-0.000077,UP
0.044701,-0.115493,-0.000069,UP
-0.004192,0.009619,-0.000076,DOWN
0.131169,-0.071155,-0.000076,DOWN
0.042978,0.144239,-0.000098,DOWN
0.056052,0.042107,-0.000102,DOWN
0.023753,-0.07572,-0.000098,UP
0.111279,-0.030678,-0.000112,DOWN
0.146563,0.002461,-0.000109,UP
0.053353,0.043439,-0.000115,DOWN
0.027901,0.039168,-0.000116,DOWN
