Moving Average,class
-0.0001329373134224543,UP
-0.00012990248121402814,UP
-0.00012515756885367324,DOWN
-0.00012733859570412953,DOWN
-0.00013505407788350077,UP
-0.00012280868273095713,UP
-0.00011123922832756428,UP
-0.00010228623715446972,DOWN
-0.00010629169499787317,UP
-0.0001004754794087237,DOWN
-0.00010340390144891742,UP
-9.953955781361046e-05,DOWN
-0.00010801236176960494,UP
-0.0001072543606175369,UP
-9.961979258998888e-05,UP
-9.920699070287142e-05,DOWN
-0.00010497384742036431,UP
-9.5594949817146e-05,UP
-7.353891494510378e-05,DOWN
-7.789070184016644e-05,UP
-7.273818368158658e-05,UP
-6.667850793729002e-05,UP
-5.805851268902984e-05,DOWN
-6.548507793535663e-05,UP
-5.4416654120315044e-05,UP
-4.9721059680374324e-05,UP
-4.230156585949274e-05,UP
-4.003308953537399e-05,UP
-2.277183765775348e-05,DOWN
-2.6712054735256174e-05,UP
-2.5576029083262952e-05,UP
-2.5176105423740935e-05,UP
-1.958637260379703e-05,UP
-1.7231001990580808e-05,UP
-1.5201603895009796e-05,DOWN
-2.403854146204587e-05,DOWN
-3.475816394149511e-05,UP
-3.146275577625701e-05,DOWN
-3.693580432484467e-05,DOWN
-3.796467118988289e-05,DOWN
-4.026414675939449e-05,UP
-3.478559852121421e-05,DOWN
-4.4929593430609316e-05,UP
-3.227058198640442e-05,DOWN
-4.557545274441743e-05,UP
-3.44748939775652e-05,UP
-2.3632617245361587e-05,DOWN
-2.5882194897297595e-05,UP
-5.481296187381801e-06,UP
8.6125932907688e-06,UP
1.1387712420374285e-05,UP
1.4249534992405444e-05,DOWN
-1.1623871170041156e-05,UP
5.101045617017519e-06,UP
8.046583688248177e-06,UP
9.772549982356438e-06,UP
1.7352892180078072e-05,UP
8.360336067614327e-05,UP
9.515239455915037e-05,UP
0.000117397132156416,UP
0.00013017612218124697,UP
0.00018437938293858203,DOWN
0.0001380278562412851,DOWN
0.00013322521975656088,UP
0.00020432959803740047,UP
0.00027702281587815847,UP
