Moving Average,class
-2.9936305732114477e-06,DOWN
-1.232504361237119e-06,UP
-4.95088339651506e-05,DOWN
-8.298173576770651e-05,DOWN
-8.427797227827938e-05,DOWN
-0.00010706689593331653,DOWN
-0.00012331827524558747,DOWN
-0.00013292554188493177,DOWN
-0.0001243811930253802,UP
-0.00011557743126422437,UP
-0.00011409470059153826,UP
-0.00011089694676780226,UP
-0.00011576670171442593,DOWN
-0.00011613050202763375,DOWN
-0.00010853136030131161,UP
-0.0001135678846315713,DOWN
-0.00010944824168679368,UP
-0.00010234808805087425,UP
-8.316863554114207e-05,UP
-8.774453160631523e-05,DOWN
-8.469438978586652e-05,UP
-0.00012725905733423915,DOWN
-0.00012465632148295214,UP
-0.00011180709752922624,UP
-0.00010823446346064358,UP
-0.00014884518172975092,DOWN
-0.00015368962382611429,DOWN
-0.0001621492110115419,DOWN
-0.00016125064664529454,UP
-0.0001554823324840804,UP
-0.0001515158282405782,UP
-0.0001227848861120595,UP
-9.201168583805597e-05,UP
-0.00010261037473680013,DOWN
-0.00010250652003995775,DOWN
-9.358134003978336e-05,UP
-0.00011659541220532255,DOWN
-0.00010682918477789016,UP
-9.441890074990411e-05,UP
-0.00011109272590692498,DOWN
-0.00011172618856325478,DOWN
-0.00011324935356782362,DOWN
-0.00012078677600868559,DOWN
-0.00013272694551180741,DOWN
-0.0001149475603350325,UP
-0.00014404008402824076,DOWN
-0.00014409091178602118,DOWN
-0.0001267211955064962,UP
-0.00013300552290940182,DOWN
-0.00013847365818664414,DOWN
-0.00013204539812883276,UP
-8.904525354869186e-05,UP
-9.315657439734615e-05,DOWN
-8.397454709041519e-05,UP
-6.972622050716026e-05,UP
-4.1574226174345696e-05,UP
-4.125074137761864e-05,UP
-4.9176694430608237e-05,DOWN
-4.800097247370516e-05,UP
-5.644682924943467e-05,DOWN
-6.77320304300899e-05,DOWN
-8.608320230774069e-05,DOWN
-7.813389274624605e-05,UP
-7.492327525349118e-05,UP
-7.216874252957695e-05,UP
-7.286247264892687e-05,DOWN
-7.731195522020506e-05,DOWN
-8.833962415266683e-05,DOWN
-6.223026229235096e-05,UP
-4.368812769905972e-05,UP
-4.424963047711117e-05,DOWN
-5.404501381933713e-05,DOWN
-5.8204106132109246e-05,DOWN
-4.750918859652842e-05,UP
-4.203941411051737e-05,UP
-6.766986183648349e-05,DOWN
-6.786836546113229e-05,DOWN
-7.873502671773558e-05,DOWN
-6.905752663244336e-05,UP
-6.829619693005107e-05,UP
-6.16774192325753e-05,UP
-5.670392426693205e-05,UP
-5.875263788390761e-05,DOWN
-7.741903075686452e-05,DOWN
-7.217247333435317e-05,UP
-7.538211513891113e-05,DOWN
-5.6447777192492055e-05,UP
-7.489858044973374e-05,DOWN
-7.010590981160192e-05,UP
-5.844952156364158e-05,UP
-6.157547850138556e-05,DOWN
-6.405453748703493e-05,DOWN
-5.607984150790557e-05,UP
-5.166557449665099e-05,UP
-5.3571098144633567e-05,DOWN
-6.473806916984515e-05,DOWN
-3.806692882202256e-05,UP
-1.7531683825788846e-05,UP
-2.183890776263908e-05,DOWN
-2.9508210604323182e-05,DOWN
-2.7248630315668265e-05,UP
-2.9486692002533843e-05,DOWN
-5.0188963684139054e-05,DOWN
-3.429664214382733e-05,UP
-2.4187417168697323e-05,UP
-4.054350819671093e-05,DOWN
-2.353540785238195e-05,UP
-3.0689753687029864e-05,DOWN
-2.3330869121318543e-05,UP
-2.2619624315156628e-05,UP
-2.496796946060975e-05,DOWN
-4.199036446239646e-05,DOWN
-3.2557274129541014e-05,UP
-2.0638301919007063e-05,UP
-2.63369060531371e-05,DOWN
-3.204920890009788e-05,DOWN
-2.532293753421122e-05,UP
-2.495566703242247e-05,UP
-3.044943879348949e-05,DOWN
-3.653081000742908e-05,DOWN
-4.393039341521465e-05,DOWN
-3.2675838022022674e-05,UP
-2.1297889493343547e-05,UP
-3.1835157361159716e-05,DOWN
-3.15426887071979e-05,UP
-3.284350816978865e-05,DOWN
-1.5923624385738577e-05,UP
-8.134058703035407e-06,UP
-2.216434312307669e-06,UP
-7.591541209439612e-06,DOWN
-5.688383434954147e-06,UP
-3.114797457048901e-05,DOWN
-4.6717567008247585e-05,DOWN
-3.7014644820088094e-05,UP
-5.775663639728812e-05,DOWN
-8.840072354243667e-05,DOWN
-8.531664480493362e-05,UP
-8.619143256027861e-05,DOWN
-8.101247895364594e-05,UP
-6.352517806518243e-05,UP
-6.55521679440163e-05,DOWN
-3.967461326914723e-05,UP
-3.90068597235782e-05,UP
-3.859600985189893e-05,UP
-5.051130918354296e-05,DOWN
-8.308929864453418e-05,DOWN
-0.00011021321807569429,DOWN
-9.922527789085756e-05,UP
-0.0001045143693623185,DOWN
-0.00010927706245356106,DOWN
-0.00011112649856048762,DOWN
-0.00012800189187722744,DOWN
-0.00013676621706237846,DOWN
-0.00013881473229448993,DOWN
-0.00013674844333810832,UP
-0.00012255497695812245,UP
-0.00013331117129911085,DOWN
-0.00014642164527578494,DOWN
-0.00014856679927177652,DOWN
-0.00013904907061146332,UP
-0.0001384151563741387,UP
-0.00012988517179968184,UP
-0.00012189190692124541,UP
-0.0001385737798291764,DOWN
-0.00013959743021185744,DOWN
-0.00015271973138952788,DOWN
-0.00014978113351871158,UP
-0.0001447181362783656,UP
-0.00013225088106727512,UP
-0.00014186154705120302,DOWN
-0.00014765179690123809,DOWN
-0.00014030258735719947,UP
-0.00014065194217449672,DOWN
-0.00011619126719941697,UP
-0.00011247728227203879,UP
-0.0001111636603539079,UP
-0.0001049816104801149,UP
-0.00010330969452310157,UP
-0.000101674950273134,UP
-0.0001027842657181921,DOWN
-0.00010780724576364697,DOWN
-9.240021631851114e-05,UP
-8.656454683975134e-05,UP
-8.995128395183905e-05,DOWN
-8.92508021557159e-05,UP
-8.53678378174294e-05,UP
-6.388577463978251e-05,UP
-5.333199828760904e-05,UP
-7.991374351590252e-05,DOWN
-8.239809465115933e-05,DOWN
-8.32503300185472e-05,DOWN
-7.67750104961884e-05,UP
-8.369610918879111e-05,DOWN
-5.266522986024924e-05,UP
-5.0522983905176844e-05,UP
-6.711367503919874e-05,DOWN
-6.607191174290428e-05,UP
-4.586149164187425e-05,UP
-4.953709198707301e-05,DOWN
-5.880608214003935e-05,DOWN
